,0
0,0.9607374164361947
1,0.9368005266622778
2,0.9462846810087272
3,0.9275591710531158
4,0.9599691622907182
5,0.8943775846370711
6,0.9445636800329923
7,0.960242916980447
8,0.8903894875519373
9,0.9428089627939229
10,0.932826008264744
11,0.951192824814735
12,0.9332750988680887
13,0.8941467382107785
14,0.8704098887578942
15,0.8180904308200385
16,0.9190099522130399
17,0.9596983114338818
18,0.863312766967252
19,0.9439543018193715
20,0.9217172830255211
21,0.9468886824576032
22,0.936032457604845
23,0.9267411823757697
24,0.9141512773497628
25,0.9266465107579004
26,0.9499297986041252
27,0.954618477774451
28,0.9567907288364281
29,0.93704436522997
30,0.9344140741129356
31,0.9321473073580381
32,0.9117469497681354
33,0.8819973645673415
34,0.9428089627939229
35,0.9527090519224495
36,0.9323860880866732
37,0.9428089627939229
38,0.9048530624922465
39,0.9586249626348543
40,0.9608071478767192
41,0.7888585250033694
42,0.9204265042968519
43,0.9333038885380659
44,0.8947246479432388
45,0.9322069362347648
46,0.9400464015871051
47,0.9385317283545704
48,0.9415706283520103
49,0.9598207520620007
50,0.4854066359480665
51,0.6869031060461125
52,0.45389318094751563
53,0.7509771206549162
54,0.7411001888981978
55,0.040931194241299325
56,0.7431634079762091
57,0.7536871497290466
58,0.6910028478340718
59,0.7657813862196268
60,0.7384846137826626
61,0.04758453230891972
62,0.5471543605841408
63,0.7189517764926733
64,0.7446046482284028
65,0.6222526324126675
66,0.1679282310064474
67,0.6010091056013247
68,0.379178290459765
69,0.8002077224552565
70,0.700755205895828
71,0.25125794691012115
72,0.7430587821017574
73,0.6127579737335834
74,0.48385029386274775
75,0.6297465928776199
76,0.6416972405952873
77,0.5001373545513412
78,0.5770328932647126
79,0.782317430804649
80,0.8233969957385359
81,0.8223745405988647
82,0.6926448850604007
83,0.7566925566046805
84,-0.10109761533318465
85,0.5620412863748089
86,0.6808408215661103
87,0.2991729340924535
88,0.527270906860905
89,0.7704918032786885
90,0.47428015392100453
91,0.6721602268183634
92,0.6638180268722573
93,0.7608752563872
94,0.5756085384906948
95,0.3899621302909732
96,0.400945315679093
97,0.3776113927741669
98,0.6836660758218952
99,0.5667771495418212
100,0.5944067308331547
101,0.6857252932883433
102,0.7576277933451455
103,-0.03187303252885704
104,0.5965635352911448
105,0.7030621669116354
106,0.36531022744855335
107,0.705800218876184
108,0.4000393796546173
109,0.7374780180974455
110,-0.3393189988017578
111,0.3566282180800871
112,0.538459407421772
113,0.5755424417169654
114,0.463867940634512
115,0.12098749198731149
116,0.08543141750015201
117,0.659028218024034
118,0.6397846327288277
119,0.5598744028929
120,0.7219937819677065
121,0.5602369591230737
122,0.6632329296801791
123,0.7687083046187293
124,0.645581344065274
125,0.7204652369301092
126,0.7980636374891669
127,0.786086991423946
128,0.27734789144710825
129,0.5987652710751706
130,0.7022955315279721
131,0.6391382681264178
132,0.3283112703868935
133,0.7346800891831635
134,0.4105041689394535
135,0.7151401966802055
136,0.41916404206480484
137,-0.0025217319993438695
138,0.7592031997490393
139,0.5141219978055029
140,0.6254676884267649
141,0.25651596673887184
142,0.6857252932883433
143,0.7494478627602786
144,0.6675989360155322
145,0.20683473570309613
146,0.6678277641436787
147,-0.2810898150211718
148,0.11386774599052416
149,0.7100249041388309
